currency,event,actual,forecast,previous
N/A,N/A,N/A,N/A,N/A
CHF,SNB Chairman Jordan Speaks,,,
USD,FOMC Member Bowman Speaks,,,
USD,FOMC Member Mester Speaks,,,
JPY,BOJ Core CPI y/y,1.8%,2.2%,2.2%
EUR,German WPI m/m,0.4%,0.1%,0.2%
GBP,CBI Realized Sales,8,-24,-44
CAD,IPPI m/m,1.5%,0.8%,0.9%
CAD,RMPI m/m,5.5%,3.1%,4.3%
USD,S&P/CS Composite-20 HPI y/y,7.4%,7.3%,7.3%
USD,HPI m/m,0.1%,0.5%,1.2%
USD,CB Consumer Confidence,102.0,96.0,97.5
USD,FOMC Member Cook Speaks,,,
USD,FOMC Member Daly Speaks,,,
AUD,MI Leading Index m/m,,,-0.1%
NZD,ANZ Business Confidence,,,14.9
AUD,CPI y/y,,3.4%,3.5%
AUD,Construction Work Done q/q,,0.6%,0.7%
